Price,Open,Close
Ticker,SPY,SPY
Date,,
1993-01-29,43.96875,43.9375
1993-02-01,43.96875,44.25
1993-02-02,44.21875,44.34375
1993-02-03,44.40625,44.8125
1993-02-04,44.96875,45.0
1993-02-05,44.96875,44.96875
1993-02-08,44.96875,44.96875
1993-02-09,44.8125,44.65625
1993-02-10,44.65625,44.71875
1993-02-11,44.78125,44.9375
1993-02-12,44.875,44.59375
1993-02-16,44.46875,43.46875
1993-02-17,43.46875,43.4375
1993-02-18,43.9375,43.40625
1993-02-19,43.40625,43.5625
1993-02-22,43.6875,43.71875
1993-02-23,43.84375,43.6875
1993-02-24,43.71875,44.25
1993-02-25,44.21875,44.34375
1993-02-26,44.4375,44.40625
1993-03-01,44.5625,44.28125
1993-03-02,44.3125,44.9375
1993-03-03,45.0,45.125
1993-03-04,45.1875,44.875
1993-03-05,44.9375,44.75
1993-03-08,44.84375,45.75
1993-03-09,45.65625,45.59375
1993-03-10,45.59375,45.6875
1993-03-11,45.71875,45.5625
1993-03-12,45.1875,45.09375
1993-03-15,45.0625,45.3125
1993-03-16,45.3125,45.3125
1993-03-17,45.25,45.03125
1993-03-18,45.21875,45.3125
1993-03-19,45.28125,45.03125
1993-03-22,44.59375,44.78125
1993-03-23,44.90625,44.875
1993-03-24,44.8125,44.875
1993-03-25,44.90625,45.15625
1993-03-26,45.125,44.90625
1993-03-29,44.9375,45.09375
1993-03-30,45.15625,45.21875
1993-03-31,45.34375,45.1875
1993-04-01,45.25,45.03125
1993-04-02,44.65625,44.09375
1993-04-05,44.4375,44.3125
1993-04-06,44.40625,44.1875
1993-04-07,44.25,44.34375
1993-04-08,44.53125,44.28125
1993-04-12,44.71875,44.90625
1993-04-13,44.875,45.0
1993-04-14,45.03125,44.9375
1993-04-15,44.90625,44.9375
1993-04-16,44.96875,44.9375
1993-04-19,44.9375,44.75
1993-04-20,44.6875,44.53125
1993-04-21,44.625,44.5
1993-04-22,44.3125,43.9375
1993-04-23,43.84375,43.75
1993-04-26,43.78125,43.40625
1993-04-27,43.34375,43.875
1993-04-28,43.8125,43.78125
1993-04-29,43.875,43.96875
1993-04-30,44.125,44.03125
1993-05-03,44.09375,44.3125
1993-05-04,44.40625,44.46875
1993-05-05,44.46875,44.59375
1993-05-06,44.53125,44.4375
1993-05-07,44.46875,44.34375
1993-05-10,44.40625,44.4375
1993-05-11,44.4375,44.625
1993-05-12,44.4375,44.5625
1993-05-13,44.375,44.03125
1993-05-14,44.03125,44.0
1993-05-17,44.125,44.15625
1993-05-18,44.1875,44.125
1993-05-19,44.125,45.03125
1993-05-20,45.03125,45.15625
1993-05-21,45.1875,44.75
1993-05-24,44.84375,44.9375
1993-05-25,45.125,45.03125
1993-05-26,45.15625,45.59375
1993-05-27,45.65625,45.4375
1993-05-28,45.40625,45.21875
1993-06-01,45.375,45.65625
1993-06-02,45.53125,45.59375
1993-06-03,45.5,45.4375
1993-06-04,45.3125,45.28125
1993-06-07,45.375,45.125
1993-06-08,45.0,44.71875
1993-06-09,44.875,44.875
1993-06-10,44.84375,44.90625
1993-06-11,45.0625,45.09375
1993-06-14,45.15625,45.03125
1993-06-15,45.09375,44.9375
1993-06-16,44.9375,45.03125
1993-06-17,45.125,45.1875
1993-06-18,44.84375,44.5
1993-06-21,44.625,44.59375
1993-06-22,44.65625,44.625
1993-06-23,44.625,44.21875
1993-06-24,44.34375,44.8125
1993-06-25,44.78125,44.78125
1993-06-28,45.0,45.28125
1993-06-29,45.21875,45.0625
1993-06-30,45.125,45.0625
1993-07-01,45.125,44.9375
1993-07-02,44.78125,44.6875
1993-07-06,44.625,44.21875
1993-07-07,44.1875,44.34375
1993-07-08,44.375,44.84375
1993-07-09,44.84375,44.96875
1993-07-12,44.90625,44.9375
1993-07-13,44.96875,44.90625
1993-07-14,44.9375,45.0625
1993-07-15,45.03125,44.875
1993-07-16,44.90625,44.75
1993-07-19,44.75,44.71875
1993-07-20,44.6875,44.84375
1993-07-21,44.78125,44.8125
1993-07-22,44.75,44.5
1993-07-23,44.59375,44.71875
1993-07-26,44.84375,44.96875
1993-07-27,45.0,44.9375
1993-07-28,44.84375,44.84375
1993-07-29,44.9375,45.09375
1993-07-30,45.09375,44.84375
1993-08-02,44.90625,44.96875
1993-08-03,45.0625,45.0
1993-08-04,45.0,45.0
1993-08-05,45.0,44.90625
1993-08-06,45.03125,44.96875
1993-08-09,45.09375,45.21875
1993-08-10,45.1875,45.1875
1993-08-11,45.15625,45.1875
1993-08-12,45.3125,45.0625
1993-08-13,45.09375,45.125
1993-08-16,45.15625,45.375
1993-08-17,45.34375,45.53125
1993-08-18,45.6875,45.78125
1993-08-19,45.8125,45.78125
1993-08-20,45.6875,45.8125
1993-08-23,45.625,45.71875
1993-08-24,45.71875,46.21875
1993-08-25,46.21875,46.25
1993-08-26,46.28125,46.28125
1993-08-27,46.15625,46.25
1993-08-30,46.28125,46.4375
1993-08-31,46.40625,46.5625
1993-09-01,46.40625,46.5
1993-09-02,46.53125,46.34375
1993-09-03,46.3125,46.375
1993-09-07,46.375,46.0625
1993-09-08,46.0625,45.90625
1993-09-09,45.71875,46.0
1993-09-10,46.125,46.40625
1993-09-13,46.5625,46.4375
1993-09-14,46.3125,46.25
1993-09-15,46.0625,46.375
1993-09-16,46.3125,46.1875
1993-09-17,45.875,45.8125
1993-09-20,45.875,45.4375
1993-09-21,45.5,45.28125
1993-09-22,45.4375,45.65625
1993-09-23,45.78125,45.90625
1993-09-24,45.84375,45.78125
1993-09-27,46.125,46.28125
1993-09-28,46.3125,46.1875
1993-09-29,46.1875,46.03125
1993-09-30,46.03125,45.9375
1993-10-01,45.875,46.15625
1993-10-04,46.21875,46.21875
1993-10-05,46.3125,46.15625
1993-10-06,46.1875,46.125
1993-10-07,46.1875,46.0
1993-10-08,46.125,46.0625
1993-10-11,46.15625,46.15625
1993-10-12,46.21875,46.21875
1993-10-13,46.25,46.21875
1993-10-14,46.40625,46.8125
1993-10-15,47.03125,47.0625
1993-10-18,47.03125,46.9375
1993-10-19,46.875,46.59375
1993-10-20,46.75,46.65625
1993-10-21,46.6875,46.59375
1993-10-22,46.65625,46.375
1993-10-25,46.40625,46.5
1993-10-26,46.46875,46.46875
1993-10-27,46.40625,46.5
1993-10-28,46.5625,46.84375
1993-10-29,46.8125,46.84375
1993-11-01,46.78125,46.96875
1993-11-02,46.90625,46.9375
1993-11-03,46.90625,46.34375
1993-11-04,46.34375,45.84375
