Price,Open,Close
Ticker,QQQ,QQQ
Date,,
1999-03-10,51.125,51.0625
1999-03-11,51.4375,51.3125
1999-03-12,51.125,50.0625
1999-03-15,50.4375,51.5
1999-03-16,51.71875,51.9375
1999-03-17,51.9375,51.5625
1999-03-18,51.5,52.5625
1999-03-19,53.25,51.21875
1999-03-22,51.4375,50.59375
1999-03-23,50.3125,48.8125
1999-03-24,49.25,50.46875
1999-03-25,51.25,52.3125
1999-03-26,51.875,51.75
1999-03-29,52.375,53.625
1999-03-30,53.5625,53.25
1999-03-31,54.125,52.46875
1999-04-01,54.0,53.5625
1999-04-05,54.4296875,55.5
1999-04-06,55.4375,55.609375
1999-04-07,56.125,55.03125
1999-04-08,54.9375,55.46875
1999-04-09,55.375,55.8125
1999-04-12,54.5,55.4375
1999-04-13,55.78125,54.6875
1999-04-14,55.375,52.8125
1999-04-15,53.0,53.53125
1999-04-16,53.40625,51.96875
1999-04-19,52.3125,49.53125
1999-04-20,49.3125,50.65625
1999-04-21,51.125,53.15625
1999-04-22,53.65625,54.59375
1999-04-23,54.3125,55.3125
1999-04-26,55.6875,56.5859375
1999-04-27,57.0,55.71875
1999-04-28,55.25,53.8125
1999-04-29,53.5625,53.375
1999-04-30,54.125,53.71875
1999-05-03,53.5625,53.4375
1999-05-04,53.53125,52.59375
1999-05-05,52.625,54.1875
1999-05-06,53.6875,52.21875
1999-05-07,52.6875,52.96875
1999-05-10,53.3125,53.5
1999-05-11,53.9375,54.34375
1999-05-12,54.59375,55.46875
1999-05-13,55.90625,54.4375
1999-05-14,53.375,53.40625
1999-05-17,52.9375,54.3671875
1999-05-18,54.3125,54.125
1999-05-19,54.34375,54.875
1999-05-20,54.9921875,53.3671875
1999-05-21,53.53125,52.875
1999-05-24,52.96875,51.53125
1999-05-25,51.46875,49.84375
1999-05-26,50.5,51.234375
1999-05-27,51.03125,51.1875
1999-05-28,51.5,52.03125
1999-06-01,51.9375,50.875
1999-06-02,50.84375,51.734375
1999-06-03,52.125,51.0
1999-06-04,51.375,52.5625
1999-06-07,52.9296875,53.65625
1999-06-08,53.78125,52.3125
1999-06-09,52.5,53.1875
1999-06-10,52.625,52.578125
1999-06-11,52.9375,51.78125
1999-06-14,51.96875,50.8046875
1999-06-15,50.9296875,51.5625
1999-06-16,52.84375,54.2109375
1999-06-17,53.5,54.8125
1999-06-18,54.3125,55.0625
1999-06-21,55.4375,56.7109375
1999-06-22,56.375,55.0
1999-06-23,55.0078125,55.8671875
1999-06-24,55.84375,54.7578125
1999-06-25,55.125,54.6875
1999-06-28,55.15625,55.984375
1999-06-29,55.9375,56.75
1999-06-30,56.8046875,57.625
1999-07-01,57.8125,58.015625
1999-07-02,58.0,58.75
1999-07-06,59.0625,58.375
1999-07-07,58.34375,58.46875
1999-07-08,58.46875,59.25
1999-07-09,59.46875,59.84375
1999-07-12,60.0625,59.53125
1999-07-13,59.25,59.25
1999-07-14,59.84375,60.2578125
1999-07-15,60.46875,60.8125
1999-07-16,60.84375,61.375
1999-07-19,61.625,60.75
1999-07-20,60.0078125,58.40625
1999-07-21,58.53125,58.6875
1999-07-22,58.6875,57.1953125
1999-07-23,57.625,57.28125
1999-07-26,56.5,55.875
1999-07-27,57.0,57.0
1999-07-28,57.6875,58.1171875
1999-07-29,57.03125,56.875
1999-07-30,57.125,56.59375
1999-08-02,56.6875,56.4375
1999-08-03,57.2109375,56.0703125
1999-08-04,56.0703125,55.0546875
1999-08-05,55.0625,55.9296875
1999-08-06,55.53125,55.328125
1999-08-09,55.53125,54.6171875
1999-08-10,54.46875,54.125
1999-08-11,55.09375,55.90625
1999-08-12,56.125,55.25
1999-08-13,56.40625,57.65625
1999-08-16,57.625,58.1171875
1999-08-17,58.625,58.40625
1999-08-18,58.125,57.75
1999-08-19,57.21875,57.0625
1999-08-20,57.125,57.96875
1999-08-23,58.5,59.8125
1999-08-24,59.375,60.21875
1999-08-25,60.59375,61.5
1999-08-26,61.5,60.4765625
1999-08-27,60.9296875,59.875
1999-08-30,60.125,59.03125
1999-08-31,59.4375,59.6875
1999-09-01,60.0625,60.1171875
1999-09-02,59.0,59.90625
1999-09-03,61.625,62.65625
1999-09-07,62.53125,62.375
1999-09-08,62.0,61.53125
1999-09-09,61.5625,62.40625
1999-09-10,63.25,63.125
1999-09-13,63.0625,62.3671875
1999-09-14,62.125,62.7109375
1999-09-15,63.4921875,61.5
1999-09-16,61.46875,61.46875
1999-09-17,62.03125,63.3125
1999-09-20,63.5,63.4609375
1999-09-21,62.90625,61.9375
1999-09-22,62.03125,62.59375
1999-09-23,63.25,60.0
1999-09-24,59.625,60.078125
1999-09-27,60.9375,60.5
1999-09-28,60.1953125,60.78125
1999-09-29,60.78125,59.5625
1999-09-30,60.125,60.1875
1999-10-01,59.375,60.2109375
1999-10-04,60.53125,61.5625
1999-10-05,61.78125,62.0
1999-10-06,62.375,63.2421875
1999-10-07,63.59375,63.09375
1999-10-08,62.84375,63.7578125
1999-10-11,63.9375,64.65625
1999-10-12,64.4375,63.1875
1999-10-13,62.46875,61.3125
1999-10-14,61.53125,61.6953125
