date,ticker,action,price,sma200,invested,changed,commission_pct,commission_cost_pct,entry_price,entry_date,trade_gross_pct,trade_net_pct
2026-07-13,SPY,HOLD,749.17,694.91,True,False,0.006,,,,,
2026-07-13,QQQ,HOLD,711.74,638.57,True,False,0.006,,,,,
2026-07-13,GLD,HOLD,367.13,410.96,False,False,0.006,,,,,
2026-07-15,SPY,HOLD,754.81,695.85,True,False,0.006,,,,,
2026-07-15,QQQ,HOLD,717.74,639.81,True,False,0.006,,,,,
2026-07-15,GLD,HOLD,372.35,411.25,False,False,0.006,,,,,
2026-07-16,SPY,HOLD,750.72,696.29,True,False,0.006,,,,,
2026-07-16,QQQ,HOLD,705.94,640.36,True,False,0.006,,,,,
2026-07-16,GLD,HOLD,364.96,411.34,False,False,0.006,,,,,
2026-07-17,SPY,HOLD,743.29,696.69,True,False,0.006,,,,,
2026-07-17,QQQ,HOLD,695.33,640.84,True,False,0.006,,,,,
2026-07-17,GLD,HOLD,368.41,411.42,False,False,0.006,,,,,
2026-07-20,SPY,HOLD,742.09,697.07,True,False,0.006,,,,,
2026-07-20,QQQ,HOLD,696.06,641.32,True,False,0.006,,,,,
2026-07-20,GLD,HOLD,367.6,411.48,False,False,0.006,,,,,
2026-07-21,SPY,HOLD,748.28,697.47,True,False,0.006,,,,,
2026-07-21,QQQ,HOLD,708.97,641.85,True,False,0.006,,,,,
2026-07-21,GLD,HOLD,374.81,411.57,False,False,0.006,,,,,
2026-07-22,SPY,HOLD,747.41,697.86,True,False,0.006,,,,,
2026-07-22,QQQ,HOLD,705.35,642.35,True,False,0.006,,,,,
2026-07-22,GLD,HOLD,379.12,411.69,False,False,0.006,,,,,
2026-07-23,SPY,HOLD,738.18,698.21,True,False,0.006,,,,,
2026-07-23,QQQ,HOLD,691.96,642.79,True,False,0.006,,,,,
2026-07-23,GLD,HOLD,371.52,411.76,False,False,0.006,,,,,
2026-07-24,SPY,HOLD,738.93,698.54,True,False,0.006,,,,,
2026-07-24,QQQ,HOLD,684.23,643.17,True,False,0.006,,,,,
2026-07-24,GLD,HOLD,371.9,411.8,False,False,0.006,,,,,
2026-07-27,SPY,HOLD,739.09,698.89,True,False,0.006,,,,,
2026-07-27,QQQ,HOLD,682.12,643.56,True,False,0.006,,,,,
2026-07-27,GLD,HOLD,374.63,411.84,False,False,0.006,,,,,
2026-07-28,SPY,HOLD,740.86,699.23,True,False,0.006,,,,,
2026-07-28,QQQ,HOLD,675.49,643.88,True,False,0.006,,,,,
2026-07-28,GLD,HOLD,369.37,411.83,False,False,0.006,,,,,
2026-07-29,SPY,HOLD,729.46,699.52,True,False,0.006,,,,,
2026-07-29,QQQ,HOLD,661.73,644.14,True,False,0.006,,,,,
2026-07-29,GLD,HOLD,371.08,411.86,False,False,0.006,,,,,
2026-07-30,SPY,HOLD,741.69,699.97,True,False,0.006,,,,,
2026-07-30,QQQ,HOLD,683.55,644.61,True,False,0.006,,,,,
2026-07-30,GLD,HOLD,377.16,411.9,False,False,0.006,,,,,
2026-07-31,SPY,HOLD,747.03,700.39,True,False,0.006,,,,,
2026-07-31,QQQ,HOLD,687.99,645.04,True,False,0.006,,,,,
2026-07-31,GLD,HOLD,371.54,411.86,False,False,0.006,,,,,
2026-08-03,SPY,HOLD,757.67,700.86,True,False,0.006,,,,,
2026-08-03,QQQ,HOLD,700.07,645.55,True,False,0.006,,,,,
2026-08-03,GLD,HOLD,371.71,411.82,False,False,0.006,,,,,
2026-08-04,SPY,HOLD,771.33,701.39,True,False,0.006,,,,,
2026-08-04,QQQ,HOLD,723.85,646.15,True,False,0.006,,,,,
2026-08-04,GLD,HOLD,374.16,411.75,False,False,0.006,,,,,
2026-08-05,SPY,HOLD,769.79,701.94,True,False,0.006,,,,,
2026-08-05,QQQ,HOLD,717.3,646.74,True,False,0.006,,,,,
2026-08-05,GLD,HOLD,389.64,411.72,False,False,0.006,,,,,
2026-08-06,SPY,HOLD,768.56,702.46,True,False,0.006,,,,,
2026-08-06,QQQ,HOLD,714.65,647.3,True,False,0.006,,,,,
2026-08-06,GLD,HOLD,389.67,411.72,False,False,0.006,,,,,
2026-08-07,SPY,HOLD,773.26,702.97,True,False,0.006,,,,,
2026-08-07,QQQ,HOLD,723.03,647.85,True,False,0.006,,,,,
2026-08-07,GLD,HOLD,398.47,411.7,False,False,0.006,,,,,
2026-08-10,SPY,HOLD,773.03,703.48,True,False,0.006,,,,,
2026-08-10,QQQ,HOLD,720.87,648.4,True,False,0.006,,,,,
2026-08-10,GLD,HOLD,402.54,411.82,False,False,0.006,,,,,
2026-08-11,SPY,HOLD,770.56,703.99,True,False,0.006,,,,,
2026-08-11,QQQ,HOLD,718.45,648.96,True,False,0.006,,,,,
2026-08-11,GLD,HOLD,400.96,411.94,False,False,0.006,,,,,
2026-08-12,SPY,HOLD,772.49,704.5,True,False,0.006,,,,,
2026-08-12,QQQ,HOLD,723.7,649.53,True,False,0.006,,,,,
2026-08-12,GLD,HOLD,404.92,412.07,False,False,0.006,,,,,
2026-08-13,SPY,HOLD,777.88,705.0,True,False,0.006,,,,,
2026-08-13,QQQ,HOLD,732.07,650.11,True,False,0.006,,,,,
2026-08-13,GLD,HOLD,398.96,412.18,False,False,0.006,,,,,
2026-08-14,SPY,HOLD,776.34,705.46,True,False,0.006,,,,,
2026-08-14,QQQ,HOLD,731.07,650.62,True,False,0.006,,,,,
2026-08-14,GLD,HOLD,401.48,412.35,False,False,0.006,,,,,
2026-08-17,SPY,HOLD,772.67,705.88,True,False,0.006,,,,,
2026-08-17,QQQ,HOLD,729.87,651.1,True,False,0.006,,,,,
2026-08-17,GLD,HOLD,405.49,412.56,False,False,0.006,,,,,
2026-08-18,SPY,HOLD,767.45,706.28,True,False,0.006,,,,,
2026-08-18,QQQ,HOLD,717.51,651.51,True,False,0.006,,,,,
2026-08-18,GLD,HOLD,398.55,412.74,False,False,0.006,,,,,
2026-08-19,SPY,HOLD,769.06,706.73,True,False,0.006,,,,,
2026-08-19,QQQ,HOLD,716.08,651.96,True,False,0.006,,,,,
2026-08-19,GLD,HOLD,413.84,412.95,False,False,0.006,,,,,
2026-08-20,SPY,HOLD,762.6,707.13,True,False,0.006,,,,,
2026-08-20,QQQ,HOLD,710.93,652.37,True,False,0.006,,,,,
2026-08-20,GLD,HOLD,415.26,413.19,False,False,0.006,,,,,
2026-08-21,SPY,HOLD,765.72,707.54,True,False,0.006,,,,,
2026-08-21,QQQ,HOLD,713.44,652.78,True,False,0.006,,,,,
2026-08-21,GLD,HOLD,423.36,413.46,False,False,0.006,,,,,
2026-08-24,SPY,HOLD,763.47,707.99,True,False,0.006,,,,,
2026-08-24,QQQ,HOLD,706.32,653.22,True,False,0.006,,,,,
2026-08-24,GLD,HOLD,426.69,413.78,False,False,0.006,,,,,
2026-08-25,SPY,HOLD,765.91,708.43,True,False,0.006,,,,,
2026-08-25,QQQ,HOLD,710.72,653.65,True,False,0.006,,,,,
2026-08-25,GLD,HOLD,428.07,414.09,False,False,0.006,,,,,
2026-08-26,SPY,HOLD,766.08,708.91,True,False,0.006,,,,,
2026-08-26,QQQ,HOLD,711.37,654.15,True,False,0.006,,,,,
2026-08-26,GLD,HOLD,421.32,414.37,False,False,0.006,,,,,
2026-08-27,SPY,HOLD,771.1,709.41,True,False,0.006,,,,,
2026-08-27,QQQ,HOLD,721.11,654.71,True,False,0.006,,,,,
2026-08-27,GLD,HOLD,422.6,414.64,False,False,0.006,,,,,
2026-08-28,SPY,HOLD,769.35,709.85,True,False,0.006,,,,,
2026-08-28,QQQ,HOLD,716.43,655.17,True,False,0.006,,,,,
2026-08-28,GLD,HOLD,408.89,414.79,False,False,0.006,,,,,
2026-08-31,SPY,HOLD,767.05,710.27,True,False,0.006,,,,,
2026-08-31,QQQ,HOLD,716.76,655.65,True,False,0.006,,,,,
2026-08-31,GLD,HOLD,408.42,414.94,False,False,0.006,,,,,
2026-09-01,SPY,HOLD,761.78,710.66,True,False,0.006,,,,,
2026-09-01,QQQ,HOLD,707.64,656.08,True,False,0.006,,,,,
2026-09-01,GLD,HOLD,396.75,414.99,False,False,0.006,,,,,
